Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/05/2015 20:45   CDT,0.89,5.38,790
08/05/2015 21:00   CDT,0.90,5.38,798
08/05/2015 21:15   CDT,0.87,5.38,768
08/05/2015 21:30   CDT,0.84,5.37,738
08/05/2015 21:45   CDT,0.92,5.36,811
08/05/2015 22:00   CDT,0.88,5.36,774
08/05/2015 22:15   CDT,0.91,5.35,802
08/05/2015 22:30   CDT,0.91,5.35,802
08/05/2015 22:45   CDT,0.94,5.35,824
08/05/2015 23:00   CDT,0.93,5.34,816
08/05/2015 23:15   CDT,0.91,5.33,801
08/05/2015 23:30   CDT,0.94,5.33,830
08/05/2015 23:45   CDT,0.89,5.32,778
08/06/2015 00:00   CDT,0.89,5.31,784
08/06/2015 00:15   CDT,0.90,5.31,792
08/06/2015 00:30   CDT,0.92,5.30,805
08/06/2015 00:45   CDT,0.94,5.29,819
08/06/2015 01:00   CDT,0.88,5.29,768
08/06/2015 01:15   CDT,0.94,5.28,818
08/06/2015 01:30   CDT,0.93,5.28,811
08/06/2015 01:45   CDT,0.94,5.28,826
08/06/2015 02:00   CDT,0.90,5.28,789
08/06/2015 02:15   CDT,0.92,5.27,803
08/06/2015 02:30   CDT,0.91,5.27,796
08/06/2015 02:45   CDT,0.94,5.27,825
08/06/2015 03:00   CDT,0.88,5.28,767
08/06/2015 03:15   CDT,0.89,5.28,774
08/06/2015 03:30   CDT,0.88,5.28,767
08/06/2015 03:45   CDT,0.90,5.29,790
08/06/2015 04:00   CDT,0.89,5.30,776
08/06/2015 04:15   CDT,0.84,5.32,734
08/06/2015 04:30   CDT,0.84,5.32,734
08/06/2015 04:45   CDT,0.81,5.33,713
08/06/2015 05:00   CDT,0.76,5.35,670
08/06/2015 05:15   CDT,0.80,5.35,707
08/06/2015 05:30   CDT,0.80,5.36,707
08/06/2015 05:45   CDT,0.79,5.38,694
08/06/2015 06:00   CDT,0.81,5.38,716
08/06/2015 06:15   CDT,0.75,5.39,665
08/06/2015 06:30   CDT,0.77,5.40,681
08/06/2015 06:45   CDT,0.77,5.41,682
08/06/2015 07:00   CDT,0.77,5.42,682
08/06/2015 07:15   CDT,0.77,5.42,682
08/06/2015 07:30   CDT,0.81,5.43,720
08/06/2015 07:45   CDT,0.77,5.43,683
08/06/2015 08:00   CDT,0.78,5.43,690
08/06/2015 08:15   CDT,0.80,5.44,713
08/06/2015 08:30   CDT,0.84,5.45,751
08/06/2015 08:45   CDT,0.74,5.44,661
08/06/2015 09:00   CDT,0.79,5.44,699
08/06/2015 09:15   CDT,0.74,5.44,661
08/06/2015 09:30   CDT,0.82,5.44,728
08/06/2015 09:45   CDT,0.79,5.43,698
08/06/2015 10:00   CDT,0.84,5.41,741
08/06/2015 10:15   CDT,0.82,5.43,728
08/06/2015 10:30   CDT,0.84,5.41,748
08/06/2015 10:45   CDT,0.83,5.42,734
08/06/2015 11:00   CDT,0.83,5.43,735
08/06/2015 11:15   CDT,0.85,5.42,756
08/06/2015 11:30   CDT,0.76,5.41,674
08/06/2015 11:45   CDT,0.82,5.40,725
08/06/2015 12:00   CDT,0.81,5.42,719
08/06/2015 12:15   CDT,0.86,5.41,763
08/06/2015 12:30   CDT,0.84,5.40,747
